Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Date Frozen,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_47,47,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 27,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_48,48,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 27,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_49,49,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 30,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_50,50,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 30,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_51,51,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 30,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_52,52,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 31,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Untreated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_53,53,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 31,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_54,54,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 31,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Untreated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_55,55,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 38,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,7/31/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_56,56,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 38,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_57,57,,Minnetonka,St Albans,27013304,44.907861,-93.552532,Point 38,,,MN,Hennepin,2015,,Eric Fieldseth,,,,,,Treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
